programa,start_segment,end_segment,pais1,pais2,pais_par
388,1146.0,1159.0,Irã,Sudão,"('Irã', 'Sudão')"
388,1159.0,1172.0,Irã,Sudão,"('Irã', 'Sudão')"
388,1211.0,1230.0,Emirados Árabes Unidos,Sudão,"('Emirados Árabes Unidos', 'Sudão')"
388,1774.0,1791.0,Jordânia,Palestina,"('Jordânia', 'Palestina')"
388,1792.0,1811.0,Alemanha,China,"('Alemanha', 'China')"
388,1792.0,1811.0,Alemanha,Estados Unidos,"('Alemanha', 'Estados Unidos')"
388,1792.0,1811.0,Alemanha,Israel,"('Alemanha', 'Israel')"
388,1792.0,1811.0,Alemanha,Rússia,"('Alemanha', 'Rússia')"
388,1792.0,1811.0,China,Estados Unidos,"('China', 'Estados Unidos')"
388,1792.0,1811.0,China,Israel,"('China', 'Israel')"
388,1792.0,1811.0,China,Rússia,"('China', 'Rússia')"
388,1792.0,1811.0,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
388,1792.0,1811.0,Estados Unidos,Rússia,"('Estados Unidos', 'Rússia')"
388,1792.0,1811.0,Israel,Rússia,"('Israel', 'Rússia')"
388,2865.0,2874.0,China,Filipinas,"('China', 'Filipinas')"
388,3125.0,3133.0,Egito,Rússia,"('Egito', 'Rússia')"
388,3133.0,3142.0,China,Palestina,"('China', 'Palestina')"
388,3322.0,3324.0,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
388,3385.0,3389.0,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
388,4413.0,4422.0,Brasil,França,"('Brasil', 'França')"
388,10132.8,10137.8,Brasil,Guatemala,"('Brasil', 'Guatemala')"
388,10569.8,10576.8,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
388,10630.8,10636.8,Israel,Palestina,"('Israel', 'Palestina')"
388,10938.8,10943.8,Estados Unidos,Israel,"('Estados Unidos', 'Israel')"
388,11315.8,11322.8,China,Filipinas,"('China', 'Filipinas')"
388,11356.8,11361.8,Filipinas,Taiwan,"('Filipinas', 'Taiwan')"
388,12121.8,12127.8,Argentina,Brasil,"('Argentina', 'Brasil')"
